,Unnamed: 0,Year,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance
0,1,1934.0,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363.000
1,2,1938.0,France,Italy,Hungary,Brazil,Sweden,84,15,18,375.700
2,3,1950.0,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1.045.246
3,4,1954.0,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,768.607
4,5,1958.0,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819.810
5,6,1962.0,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893.172
6,7,1966.0,England,England,Germany FR,Portugal,Soviet Union,89,16,32,1.563.135
7,8,1970.0,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1.603.975
8,9,1974.0,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,1.865.753
9,10,1978.0,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1.545.791
10,11,1982.0,Spain,Italy,Germany FR,Poland,France,146,24,52,2.109.723
11,12,1986.0,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2.394.031
12,13,1990.0,Italy,Germany FR,Argentina,Italy,England,115,24,52,2.516.215
13,14,1994.0,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3.587.538
14,15,1998.0,France,France,Brazil,Croatia,Netherlands,171,32,64,2.785.100
15,16,2002.0,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2.705.197
16,17,2006.0,Germany,Italy,France,Germany,Portugal,147,32,64,3.359.439
17,18,2010.0,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3.178.856
18,19,2014.0,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3.386.810
